Category,Name,Type,Example,Description
Search Recipes by Ingredients,ingredients,string,"apples,flour,sugar",A comma-separated list of ingredients that the recipes should contain.
Search Recipes by Ingredients,number,number,10,The maximum number of recipes to return (between 1 and 100). Defaults to 10.
Search Recipes by Ingredients,ranking,number,1,Whether to maximize used ingredients (1) or minimize missing ingredients (2) first.
Search Recipes by Ingredients,ignorePantry,boolean,true,"Whether to ignore typical pantry items, such as water, salt, flour, etc."
Search Recipes by Nutrients,minCarbs,number,10,The minimum amount of carbohydrates in grams the recipe must have per serving.
Search Recipes by Nutrients,maxCarbs,number,100,The maximum amount of carbohydrates in grams the recipe can have per serving.
Search Recipes by Nutrients,minProtein,number,10,The minimum amount of protein in grams the recipe must have per serving.
Search Recipes by Nutrients,maxProtein,number,100,The maximum amount of protein in grams the recipe can have per serving.
Search Recipes by Nutrients,minCalories,number,50,The minimum amount of calories the recipe must have per serving.
Search Recipes by Nutrients,maxCalories,number,800,The maximum amount of calories the recipe can have per serving.
Search Recipes by Nutrients,minFat,number,1,The minimum amount of fat in grams the recipe must have per serving.
Search Recipes by Nutrients,maxFat,number,100,The maximum amount of fat in grams the recipe can have per serving.
Search Recipes by Nutrients,minAlcohol,number,0,The minimum amount of alcohol in grams the recipe must have per serving.
Search Recipes by Nutrients,maxAlcohol,number,100,The maximum amount of alcohol in grams the recipe can have per serving.
Search Recipes by Nutrients,minCaffeine,number,0,The minimum amount of caffeine in milligrams the recipe must have per serving.
Search Recipes by Nutrients,maxCaffeine,number,100,The maximum amount of caffeine in milligrams the recipe can have per serving.
Search Recipes by Nutrients,minCopper,number,0,The minimum amount of copper in milligrams the recipe must have per serving.
Search Recipes by Nutrients,maxCopper,number,100,The maximum amount of copper in milligrams the recipe can have per serving.
Search Recipes by Nutrients,minCalcium,number,0,The minimum amount of calcium in milligrams the recipe must have per serving.
Search Recipes by Nutrients,maxCalcium,number,100,The maximum amount of calcium in milligrams the recipe can have per serving.
Search Recipes by Nutrients,minCholine,number,0,The minimum amount of choline in milligrams the recipe must have per serving.
Search Recipes by Nutrients,maxCholine,number,100,The maximum amount of choline in milligrams the recipe can have per serving.
Search Recipes by Nutrients,minCholesterol,number,0,The minimum amount of cholesterol in milligrams the recipe must have per serving.
Search Recipes by Nutrients,maxCholesterol,number,100,The maximum amount of cholesterol in milligrams the recipe can have per serving.
Search Recipes by Nutrients,minFluoride,number,0,The minimum amount of fluoride in milligrams the recipe must have per serving.
Search Recipes by Nutrients,maxFluoride,number,100,The maximum amount of fluoride in milligrams the recipe can have per serving.
